model,prompt_lang,adj_lang,intervention_lang,measure_lang,ablation_method,amplification_method,mean_baseline_target_minus_base,stdev_baseline_target_minus_base,mean_intervened_target_minus_base,stdev_intervened_target_minus_base,n
qwen3-4b,de,de,de,de,desc,desc,-0.9148185483870968,2.4697655325786134,-0.8538306451612904,2.481932772691261,124
qwen3-4b,de,de,de,de,desc,freq,-0.9148185483870968,2.4697655325786134,-0.7237903225806451,2.170105006729119,124
qwen3-4b,de,de,de,de,desc,val,-0.9148185483870968,2.4697655325786134,-0.7600806451612904,2.247675333319425,124
qwen3-4b,de,de,de,de,freq,desc,-0.9148185483870968,2.4697655325786134,-0.7585685483870968,2.4716293499707636,124
qwen3-4b,de,de,de,de,freq,freq,-0.9148185483870968,2.4697655325786134,-0.7615927419354839,2.4782766422077955,124
qwen3-4b,de,de,de,de,freq,val,-0.9148185483870968,2.4697655325786134,-0.6960685483870968,2.2443092934380746,124
qwen3-4b,de,de,de,de,val,desc,-0.9148185483870968,2.4697655325786134,-0.9884072580645161,2.721598614372033,124
qwen3-4b,de,de,de,de,val,freq,-0.9148185483870968,2.4697655325786134,-0.8528225806451613,2.4950178194726322,124
qwen3-4b,de,de,de,de,val,val,-0.9148185483870968,2.4697655325786134,-0.9732862903225806,2.669390600024952,124
qwen3-4b,de,de,de,en,desc,desc,-7.694212147887324,5.024641944610602,-6.592539612676056,5.15131670632026,142
qwen3-4b,de,de,de,en,desc,freq,-7.694212147887324,5.024641944610602,-5.567781690140845,4.862483038390366,142
qwen3-4b,de,de,de,en,desc,val,-7.694212147887324,5.024641944610602,-5.457306338028169,4.6645856578470255,142
qwen3-4b,de,de,de,en,freq,desc,-7.694212147887324,5.024641944610602,-3.59375,5.217335748195353,142
qwen3-4b,de,de,de,en,freq,freq,-7.694212147887324,5.024641944610602,-3.5924295774647885,5.216946610045213,142
qwen3-4b,de,de,de,en,freq,val,-7.694212147887324,5.024641944610602,-2.5768045774647885,4.835277884828055,142
qwen3-4b,de,de,de,en,val,desc,-7.694212147887324,5.024641944610602,-6.682988556338028,5.195198835604686,142
qwen3-4b,de,de,de,en,val,freq,-7.694212147887324,5.024641944610602,-5.583681778169014,5.133833528047088,142
qwen3-4b,de,de,de,en,val,val,-7.694212147887324,5.024641944610602,-6.708076584507042,5.141635333454433,142
qwen3-4b,de,de,de,es,desc,desc,-11.31988393660072,5.738885358058307,-9.877388714028777,5.480444287427347,139
qwen3-4b,de,de,de,es,desc,freq,-11.31988393660072,5.738885358058307,-8.788050809352518,5.256259666033998,139
qwen3-4b,de,de,de,es,desc,val,-11.31988393660072,5.738885358058307,-8.863758992805755,5.073701051230305,139
qwen3-4b,de,de,de,es,freq,desc,-11.31988393660072,5.738885358058307,-7.08273381294964,5.276378575738253,139
qwen3-4b,de,de,de,es,freq,freq,-11.31988393660072,5.738885358058307,-7.086780575539568,5.273047631408925,139
qwen3-4b,de,de,de,es,freq,val,-11.31988393660072,5.738885358058307,-6.04046762589928,4.948464100013809,139
qwen3-4b,de,de,de,es,val,desc,-11.31988393660072,5.738885358058307,-10.30378821942446,5.528841465613898,139
qwen3-4b,de,de,de,es,val,freq,-11.31988393660072,5.738885358058307,-9.303493142985612,5.453048396986561,139
qwen3-4b,de,de,de,es,val,val,-11.31988393660072,5.738885358058307,-10.388447054856115,5.495385044815043,139
qwen3-4b,de,de,de,fr,desc,desc,-10.839122596153846,4.827238997958469,-9.188581730769231,4.658483425770263,130
qwen3-4b,de,de,de,fr,desc,freq,-10.839122596153846,4.827238997958469,-8.202884615384615,4.513310680030843,130
qwen3-4b,de,de,de,fr,desc,val,-10.839122596153846,4.827238997958469,-8.267788461538462,4.322492458046148,130
qwen3-4b,de,de,de,fr,freq,desc,-10.839122596153846,4.827238997958469,-6.321394230769231,4.948141673711998,130
qwen3-4b,de,de,de,fr,freq,freq,-10.839122596153846,4.827238997958469,-6.332451923076923,4.946121416225714,130
qwen3-4b,de,de,de,fr,freq,val,-10.839122596153846,4.827238997958469,-5.441826923076923,4.735618263034327,130
qwen3-4b,de,de,de,fr,val,desc,-10.839122596153846,4.827238997958469,-9.655829326923078,4.779927181336311,130
qwen3-4b,de,de,de,fr,val,freq,-10.839122596153846,4.827238997958469,-8.720597956730769,4.858164523631905,130
qwen3-4b,de,de,de,fr,val,val,-10.839122596153846,4.827238997958469,-9.734104567307693,4.751360214092886,130
qwen3-4b,de,de,de,ja,desc,desc,-16.447433229476687,4.985014667416093,-15.580950055803571,4.955728639831966,126
qwen3-4b,de,de,de,ja,desc,freq,-16.447433229476687,4.985014667416093,-14.559033590649802,4.796387055374238,126
qwen3-4b,de,de,de,ja,desc,val,-16.447433229476687,4.985014667416093,-14.145899212549603,4.6376971270345475,126
qwen3-4b,de,de,de,ja,freq,desc,-16.447433229476687,4.985014667416093,-12.836503286210318,5.359493140130288,126
qwen3-4b,de,de,de,ja,freq,freq,-16.447433229476687,4.985014667416093,-12.830874488467263,5.3596175208360455,126
