model,prompt_lang,adj_lang,intervention_lang,measure_lang,ablation_method,amplification_method,mean_baseline_target_minus_base,stdev_baseline_target_minus_base,mean_intervened_target_minus_base,stdev_intervened_target_minus_base,n
qwen3-4b,de,de,de,de,desc,desc,-0.9148185483870968,2.4697655325786134,-0.8538306451612904,2.481932772691261,124
qwen3-4b,de,de,de,de,desc,freq,-0.9148185483870968,2.4697655325786134,-0.6199596774193549,1.8965830417182445,124
qwen3-4b,de,de,de,de,desc,val,-0.9148185483870968,2.4697655325786134,-0.39818548387096775,1.3709166025581871,124
qwen3-4b,de,de,de,de,freq,desc,-0.9148185483870968,2.4697655325786134,-0.7605846774193549,2.4753962298597694,124
qwen3-4b,de,de,de,de,freq,freq,-0.9148185483870968,2.4697655325786134,-0.7620967741935484,2.4799331510442064,124
qwen3-4b,de,de,de,de,freq,val,-0.9148185483870968,2.4697655325786134,-0.4581653225806452,1.657540852507349,124
qwen3-4b,de,de,de,de,val,desc,-0.9148185483870968,2.4697655325786134,-0.9959677419354839,2.738319868496555,124
qwen3-4b,de,de,de,de,val,freq,-0.9148185483870968,2.4697655325786134,-0.8316532258064516,2.387818124361686,124
qwen3-4b,de,de,de,de,val,val,-0.9148185483870968,2.4697655325786134,-0.9732862903225806,2.669390600024952,124
qwen3-4b,de,de,de,en,desc,desc,-7.694212147887324,5.024641944610602,-6.592539612676056,5.15131670632026,142
qwen3-4b,de,de,de,en,desc,freq,-7.694212147887324,5.024641944610602,-5.101672535211268,4.475353662099962,142
qwen3-4b,de,de,de,en,desc,val,-7.694212147887324,5.024641944610602,0.4110915492957746,3.175411857812556,142
qwen3-4b,de,de,de,en,freq,desc,-7.694212147887324,5.024641944610602,-3.579225352112676,5.21970566319415,142
qwen3-4b,de,de,de,en,freq,freq,-7.694212147887324,5.024641944610602,-3.6016725352112675,5.205492270272961,142
qwen3-4b,de,de,de,en,freq,val,-7.694212147887324,5.024641944610602,2.6360035211267605,4.009755800958563,142
qwen3-4b,de,de,de,en,val,desc,-7.694212147887324,5.024641944610602,-6.650968309859155,5.2326441337873515,142
qwen3-4b,de,de,de,en,val,freq,-7.694212147887324,5.024641944610602,-5.18811894806338,4.977760480850685,142
qwen3-4b,de,de,de,en,val,val,-7.694212147887324,5.024641944610602,-6.708076584507042,5.141635333454433,142
qwen3-4b,de,de,de,es,desc,desc,-11.31988393660072,5.738885358058307,-9.877388714028777,5.480444287427347,139
qwen3-4b,de,de,de,es,desc,freq,-11.31988393660072,5.738885358058307,-8.127360611510792,4.96058289403258,139
qwen3-4b,de,de,de,es,desc,val,-11.31988393660072,5.738885358058307,-3.151753597122302,3.509670503159497,139
qwen3-4b,de,de,de,es,freq,desc,-11.31988393660072,5.738885358058307,-7.071605215827338,5.268479670679827,139
qwen3-4b,de,de,de,es,freq,freq,-11.31988393660072,5.738885358058307,-7.089815647482014,5.268913566609614,139
qwen3-4b,de,de,de,es,freq,val,-11.31988393660072,5.738885358058307,-1.514388489208633,4.049897303579494,139
qwen3-4b,de,de,de,es,val,desc,-11.31988393660072,5.738885358058307,-10.24824007981115,5.558689381184732,139
qwen3-4b,de,de,de,es,val,freq,-11.31988393660072,5.738885358058307,-9.08388601618705,5.381987230659086,139
qwen3-4b,de,de,de,es,val,val,-11.31988393660072,5.738885358058307,-10.388447054856115,5.495385044815043,139
