method,sweep,is_default,throughput_threshold,node_threshold,edge_threshold,threshold_first,threshold_last,max_iterations,total_features,mean_features_per_lang,mean_lang_name_match_rate,mean_cross_lang_jaccard,mean_jaccard_vs_default
AnnSel,tracing_node_threshold,False,0.1,0.95,0.98,0.5,0.25,75,58,58.0,1.0,1.0,0.9655
AnnSel,tracing_node_threshold,False,0.1,0.6,0.98,0.5,0.25,75,52,52.0,1.0,1.0,0.8947
AnnSel,tracing_node_threshold,False,0.1,0.7,0.98,0.5,0.25,75,56,56.0,1.0,1.0,0.931
AnnSel,tracing_node_threshold,False,0.1,0.75,0.98,0.5,0.25,75,55,55.0,1.0,1.0,0.9821
AnnSel,tracing_node_threshold,True,0.1,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_node_threshold,False,0.1,0.85,0.98,0.5,0.25,75,57,57.0,1.0,1.0,0.9825
AnnSel,tracing_node_threshold,False,0.1,0.9,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_threshold_first,True,0.1,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_threshold_first,False,0.1,0.8,0.98,0.6,0.25,75,54,54.0,1.0,1.0,0.9643
AnnSel,tracing_threshold_first,False,0.1,0.8,0.98,0.3,0.25,75,57,57.0,1.0,1.0,0.9825
AnnSel,tracing_threshold_first,False,0.1,0.8,0.98,0.4,0.25,75,57,57.0,1.0,1.0,0.9825
AnnSel,tracing_threshold_first,False,0.1,0.8,0.98,0.7,0.25,75,51,51.0,1.0,1.0,0.9107
AnnSel,tracing_throughput_threshold,False,0.05,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_throughput_threshold,False,0.075,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_throughput_threshold,True,0.1,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_throughput_threshold,False,0.15,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_throughput_threshold,False,0.2,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_throughput_threshold,False,0.25,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_edge_threshold,False,0.1,0.8,0.9,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_edge_threshold,False,0.1,0.8,0.92,0.5,0.25,75,57,57.0,1.0,1.0,0.9825
AnnSel,tracing_edge_threshold,False,0.1,0.8,0.95,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_edge_threshold,True,0.1,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_edge_threshold,False,0.1,0.8,0.99,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_threshold_last,False,0.1,0.8,0.98,0.5,0.1,75,98,98.0,1.0,1.0,0.5714
AnnSel,tracing_threshold_last,False,0.1,0.8,0.98,0.5,0.35,75,35,35.0,1.0,1.0,0.625
AnnSel,tracing_threshold_last,False,0.1,0.8,0.98,0.5,0.15,75,74,74.0,1.0,1.0,0.7568
AnnSel,tracing_threshold_last,False,0.1,0.8,0.98,0.5,0.3,75,41,41.0,1.0,1.0,0.7321
AnnSel,tracing_threshold_last,True,0.1,0.8,0.98,0.5,0.25,75,56,56.0,1.0,1.0,1.0
AnnSel,tracing_threshold_last,False,0.1,0.8,0.98,0.5,0.2,75,65,65.0,1.0,1.0,0.8615
