model,prompt_lang,adj_lang,plot_type,mean_logit_change,source
qwen3-4b,en,ko,"combined_pair:zero_ablation=desc,target_amplification=desc",-0.46015625,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=desc,target_amplification=val",-1.10453125,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=desc,target_amplification=freq",-0.496875,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=val,target_amplification=desc",-2.56890625,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=val,target_amplification=val",-2.6128125,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=val,target_amplification=freq",-2.3740625,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=freq,target_amplification=desc",-3.212421875,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=freq,target_amplification=val",-2.85546875,adj_lang_method_logit_change
qwen3-4b,en,ko,"combined_pair:zero_ablation=freq,target_amplification=freq",-3.212421875,adj_lang_method_logit_change
qwen3-4b,en,zh,normal_amplification:desc,0.0,normal_interventions:non-distractor amplification
qwen3-4b,en,zh,normal_amplification:val,0.0,normal_interventions:non-distractor amplification
qwen3-4b,en,zh,normal_amplification:freq,0.0,normal_interventions:non-distractor amplification
qwen3-4b,en,zh,"combined_pair:zero_ablation=desc,target_amplification=desc",-0.2575,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=desc,target_amplification=val",-0.05375,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=desc,target_amplification=freq",1.4175,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=val,target_amplification=desc",-3.7075,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=val,target_amplification=val",-4.0875,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=val,target_amplification=freq",-3.260625,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=freq,target_amplification=desc",-0.790625,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=freq,target_amplification=val",-2.175625,adj_lang_method_logit_change
qwen3-4b,en,zh,"combined_pair:zero_ablation=freq,target_amplification=freq",-0.943125,adj_lang_method_logit_change
