budget,method,intervention_type,language,antonym_delta_top1_margin,enumeration_delta_norm_logprob
original_default,AnnSel,distractor ablation,en,0.0008802816901408451,0.009914742094098119
original_default,AnnSel,distractor ablation,fr,0.05048076923076923,-0.39109201620003986
original_default,AnnSel,distractor ablation,de,0.0751008064516129,0.2694414240825895
original_default,AnnSel,distractor ablation,es,0.008992805755395683,0.06635730622650726
original_default,AnnSel,distractor ablation,zh,0.022727272727272728,-0.061941518541022464
original_default,AnnSel,distractor ablation,ja,0.06101190476190476,-0.3002730992965369
original_default,AnnSel,distractor ablation,ko,-0.002777777777777778,0.061551814152176476
original_default,ValSel,distractor ablation,en,0.02640845070422535,-1.2050792668731247
original_default,ValSel,distractor ablation,fr,0.051682692307692304,-1.8220946445240973
original_default,ValSel,distractor ablation,de,0.07308467741935484,-0.7589831275562481
original_default,ValSel,distractor ablation,es,0.03372302158273381,-1.21392639816434
original_default,ValSel,distractor ablation,zh,-0.10795454545454546,-0.23570623039167163
original_default,ValSel,distractor ablation,ja,0.07192460317460317,-0.7108123647186151
original_default,ValSel,distractor ablation,ko,-0.1712962962962963,-0.5408778060723785
original_default,FreqSel,distractor ablation,en,0.0,-1.2410670142448013
original_default,FreqSel,distractor ablation,fr,0.048317307692307694,-0.22677924563726926
original_default,FreqSel,distractor ablation,de,0.025201612903225805,0.3455430010770232
original_default,FreqSel,distractor ablation,es,0.11420863309352518,-0.015292740155682034
original_default,FreqSel,distractor ablation,zh,-0.013946280991735538,-0.34427376962327355
original_default,FreqSel,distractor ablation,ja,0.10119047619047619,-0.02551237824675339
original_default,FreqSel,distractor ablation,ko,-0.13287037037037036,0.18456922622564825
original_default,AnnSel,amplification,en,,0.29335243535321964
original_default,AnnSel,amplification,fr,,-0.013544860974313622
original_default,AnnSel,amplification,de,,0.36251115197374567
original_default,AnnSel,amplification,es,,0.24058910121723084
original_default,AnnSel,amplification,zh,,0.04901035510616352
original_default,AnnSel,amplification,ja,,-1.2548092532467534
original_default,AnnSel,amplification,ko,,0.051319051155620646
original_default,ValSel,amplification,en,,-2.707209948691307
original_default,ValSel,amplification,fr,,-1.3281745764968862
original_default,ValSel,amplification,de,,-1.063207771959464
original_default,ValSel,amplification,es,,-0.4676495351464058
original_default,ValSel,amplification,zh,,-0.3273001833137497
original_default,ValSel,amplification,ja,,-0.030805262445887598
original_default,ValSel,amplification,ko,,1.1356549200551822
original_default,FreqSel,amplification,en,,-1.0295101187593343
original_default,FreqSel,amplification,fr,,0.2878195484258101
original_default,FreqSel,amplification,de,,1.3829618322458546
original_default,FreqSel,amplification,es,,0.3417631503823513
original_default,FreqSel,amplification,zh,,0.5285913210152545
original_default,FreqSel,amplification,ja,,0.4410528273809525
original_default,FreqSel,amplification,ko,,1.3434085177100645
original_default,AnnSel,feature-intervention,en,-0.0669592096851945,0.008724265903621742
original_default,AnnSel,feature-intervention,fr,-0.028890767638936585,-0.0423559308568119
original_default,AnnSel,feature-intervention,de,-0.04698434293544787,-0.031207926566761555
original_default,AnnSel,feature-intervention,es,-0.03183524957377848,-0.014051533445725057
original_default,AnnSel,feature-intervention,zh,0.014467133541174734,0.00022450553906404127
original_default,AnnSel,feature-intervention,ja,-0.031579257679634355,0.0
original_default,AnnSel,feature-intervention,ko,-0.06520052578503913,-0.0036442001666365798
original_default,ValSel,feature-intervention,en,-0.03185699483358484,0.008724265903621742
original_default,ValSel,feature-intervention,fr,-0.011417173727964743,-0.0423559308568119
original_default,ValSel,feature-intervention,de,-0.016868185520904588,-0.031207926566761555
original_default,ValSel,feature-intervention,es,0.005189180129110997,-0.014051533445725057
original_default,ValSel,feature-intervention,zh,-0.05153641894031631,0.00022450553906404127
original_default,ValSel,feature-intervention,ja,-0.01659787178760393,0.0
original_default,ValSel,feature-intervention,ko,-0.08489881512139,-0.0036442001666365798
original_default,FreqSel,feature-intervention,en,-0.01142270288397049,0.008724265903621742
original_default,FreqSel,feature-intervention,fr,-0.026544256524725276,-0.0423559308568119
original_default,FreqSel,feature-intervention,de,-0.007876254080261137,-0.031207926566761555
original_default,FreqSel,feature-intervention,es,-0.011590950453922576,-0.014051533445725057
original_default,FreqSel,feature-intervention,zh,-0.007054616784730421,0.00022450553906404127
original_default,FreqSel,feature-intervention,ja,0.003610993008314437,0.0
original_default,FreqSel,feature-intervention,ko,-0.020650464685295414,-0.0036442001666365798
