model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,fr,ja,en,en,en,desc,desc,8.875,8.6875,8.875,-0.1875,0.0,26,21,26
gemma-2-2b,0,fr,ja,en,en,fr,desc,desc,16.375,15.375,16.375,-1.0,0.0,0,0,0
gemma-2-2b,0,fr,ja,en,en,de,desc,desc,5.03125,4.4375,4.96875,-0.59375,-0.0625,283,317,292
gemma-2-2b,0,fr,ja,en,en,es,desc,desc,8.25,7.375,8.25,-0.875,0.0,40,57,38
gemma-2-2b,0,fr,ja,en,en,zh,desc,desc,0.15625,-0.0625,0.1875,-0.21875,0.03125,3488,3438,3440
gemma-2-2b,0,fr,ja,en,en,ja,desc,desc,0.0,0.0,0.0,0.0,0.0,3727,3261,3742
gemma-2-2b,0,fr,ja,en,en,ko,desc,desc,-4.03125,-4.65625,-4.0625,-0.625,-0.03125,27118,33416,27401
gemma-2-2b,0,fr,ja,en,en,en,desc,val,8.875,8.6875,8.6875,-0.1875,-0.1875,26,21,21
gemma-2-2b,0,fr,ja,en,en,fr,desc,val,16.375,15.375,15.3125,-1.0,-1.0625,0,0,0
gemma-2-2b,0,fr,ja,en,en,de,desc,val,5.03125,4.4375,4.6875,-0.59375,-0.34375,283,317,296
gemma-2-2b,0,fr,ja,en,en,es,desc,val,8.25,7.375,7.25,-0.875,-1.0,40,57,61
gemma-2-2b,0,fr,ja,en,en,zh,desc,val,0.15625,-0.0625,0.03125,-0.21875,-0.125,3488,3438,3379
gemma-2-2b,0,fr,ja,en,en,ja,desc,val,0.0,0.0,0.0,0.0,0.0,3727,3261,3432
gemma-2-2b,0,fr,ja,en,en,ko,desc,val,-4.03125,-4.65625,-4.40625,-0.625,-0.375,27118,33416,31767
gemma-2-2b,0,fr,ja,en,en,en,desc,freq,8.875,8.6875,8.75,-0.1875,-0.125,26,21,19
gemma-2-2b,0,fr,ja,en,en,fr,desc,freq,16.375,15.375,15.25,-1.0,-1.125,0,0,0
gemma-2-2b,0,fr,ja,en,en,de,desc,freq,5.03125,4.4375,4.53125,-0.59375,-0.5,283,317,302
gemma-2-2b,0,fr,ja,en,en,es,desc,freq,8.25,7.375,7.21875,-0.875,-1.03125,40,57,62
gemma-2-2b,0,fr,ja,en,en,zh,desc,freq,0.15625,-0.0625,0.03125,-0.21875,-0.125,3488,3438,3361
gemma-2-2b,0,fr,ja,en,en,ja,desc,freq,0.0,0.0,0.0,0.0,0.0,3727,3261,3388
gemma-2-2b,0,fr,ja,en,en,ko,desc,freq,-4.03125,-4.65625,-4.375,-0.625,-0.34375,27118,33416,30952
gemma-2-2b,0,fr,ja,en,en,en,val,desc,8.875,7.9375,8.125,-0.9375,-0.75,26,14,12
gemma-2-2b,0,fr,ja,en,en,fr,val,desc,16.375,14.875,14.875,-1.5,-1.5,0,0,0
gemma-2-2b,0,fr,ja,en,en,de,val,desc,5.03125,1.6875,2.1875,-3.34375,-2.84375,283,457,375
gemma-2-2b,0,fr,ja,en,en,es,val,desc,8.25,6.1875,6.3125,-2.0625,-1.9375,40,46,48
gemma-2-2b,0,fr,ja,en,en,zh,val,desc,0.15625,-2.703125,-2.328125,-2.859375,-2.484375,3488,3507,3101
gemma-2-2b,0,fr,ja,en,en,ja,val,desc,0.0,0.0,0.0,0.0,0.0,3727,997,1039
gemma-2-2b,0,fr,ja,en,en,ko,val,desc,-4.03125,-7.65625,-7.125,-3.625,-3.09375,27118,33690,28335
gemma-2-2b,0,fr,ja,en,en,en,val,val,8.875,7.9375,8.8125,-0.9375,-0.0625,26,14,27
gemma-2-2b,0,fr,ja,en,en,fr,val,val,16.375,14.875,16.375,-1.5,0.0,0,0,0
gemma-2-2b,0,fr,ja,en,en,de,val,val,5.03125,1.6875,5.0,-3.34375,-0.03125,283,457,289
gemma-2-2b,0,fr,ja,en,en,es,val,val,8.25,6.1875,8.3125,-2.0625,0.0625,40,46,37
gemma-2-2b,0,fr,ja,en,en,zh,val,val,0.15625,-2.703125,0.15625,-2.859375,0.0,3488,3507,3483
gemma-2-2b,0,fr,ja,en,en,ja,val,val,0.0,0.0,0.0,0.0,0.0,3727,997,3740
gemma-2-2b,0,fr,ja,en,en,ko,val,val,-4.03125,-7.65625,-4.03125,-3.625,0.0,27118,33690,27127
