model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,en,en,en,en,en,desc,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,en,en,en,en,fr,desc,desc,-13.1875,-14.5625,-13.1875,-1.375,0.0,1288,2478,1292
gemma-2-2b,0,en,en,en,en,de,desc,desc,-11.5,-11.3125,-11.5,0.1875,0.0,528,527,530
gemma-2-2b,0,en,en,en,en,es,desc,desc,-11.375,-11.8125,-11.375,-0.4375,0.0,519,699,520
gemma-2-2b,0,en,en,en,en,zh,desc,desc,-14.125,-14.6875,-14.125,-0.5625,0.0,1997,2605,2004
gemma-2-2b,0,en,en,en,en,ja,desc,desc,-15.25,-15.125,-15.3125,0.125,-0.0625,3146,3184,3232
gemma-2-2b,0,en,en,en,en,ko,desc,desc,-18.125,-18.125,-18.25,0.0,-0.125,10029,10073,10280
gemma-2-2b,0,en,en,en,en,en,desc,val,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,en,en,en,en,fr,desc,val,-13.1875,-14.5625,-14.5,-1.375,-1.3125,1288,2478,2529
gemma-2-2b,0,en,en,en,en,de,desc,val,-11.5,-11.3125,-11.3125,0.1875,0.1875,528,527,524
gemma-2-2b,0,en,en,en,en,es,desc,val,-11.375,-11.8125,-11.9375,-0.4375,-0.5625,519,699,758
gemma-2-2b,0,en,en,en,en,zh,desc,val,-14.125,-14.6875,-14.6875,-0.5625,-0.5625,1997,2605,2731
gemma-2-2b,0,en,en,en,en,ja,desc,val,-15.25,-15.125,-14.9375,0.125,0.3125,3146,3184,3109
gemma-2-2b,0,en,en,en,en,ko,desc,val,-18.125,-18.125,-18.0,0.0,0.125,10029,10073,10398
gemma-2-2b,0,en,en,en,en,en,desc,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,en,en,en,en,fr,desc,freq,-13.1875,-14.5625,-14.5,-1.375,-1.3125,1288,2478,2483
gemma-2-2b,0,en,en,en,en,de,desc,freq,-11.5,-11.3125,-11.3125,0.1875,0.1875,528,527,515
gemma-2-2b,0,en,en,en,en,es,desc,freq,-11.375,-11.8125,-11.875,-0.4375,-0.5,519,699,720
gemma-2-2b,0,en,en,en,en,zh,desc,freq,-14.125,-14.6875,-14.75,-0.5625,-0.625,1997,2605,2750
gemma-2-2b,0,en,en,en,en,ja,desc,freq,-15.25,-15.125,-15.0625,0.125,0.1875,3146,3184,3203
gemma-2-2b,0,en,en,en,en,ko,desc,freq,-18.125,-18.125,-18.0,0.0,0.125,10029,10073,10257
gemma-2-2b,0,en,en,en,en,en,val,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
