model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,ja,zh,en,en,en,desc,desc,1.6875,3.6875,1.6875,2.0,0.0,13,7,13
gemma-2-2b,0,ja,zh,en,en,fr,desc,desc,-5.3125,-4.5625,-5.28125,0.75,0.03125,1220,1164,1210
gemma-2-2b,0,ja,zh,en,en,de,desc,desc,-10.875,-9.25,-10.875,1.625,0.0,17295,11793,17264
gemma-2-2b,0,ja,zh,en,en,es,desc,desc,-6.25,-5.3125,-6.25,0.9375,0.0,2046,1765,2062
gemma-2-2b,0,ja,zh,en,en,zh,desc,desc,0.0,0.0,0.0,0.0,0.0,41,71,41
gemma-2-2b,0,ja,zh,en,en,ja,desc,desc,7.125,7.4375,7.125,0.3125,0.0,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,desc,desc,-7.21875,-6.875,-7.15625,0.34375,0.0625,3311,3902,3231
gemma-2-2b,0,ja,zh,en,en,en,desc,val,1.6875,3.6875,2.875,2.0,1.1875,13,7,7
gemma-2-2b,0,ja,zh,en,en,fr,desc,val,-5.3125,-4.5625,-5.71875,0.75,-0.40625,1220,1164,1902
gemma-2-2b,0,ja,zh,en,en,de,desc,val,-10.875,-9.25,-9.375,1.625,1.5,17295,11793,11338
gemma-2-2b,0,ja,zh,en,en,es,desc,val,-6.25,-5.3125,-6.25,0.9375,0.0,2046,1765,2536
gemma-2-2b,0,ja,zh,en,en,zh,desc,val,0.0,0.0,0.0,0.0,0.0,41,71,56
gemma-2-2b,0,ja,zh,en,en,ja,desc,val,7.125,7.4375,7.0625,0.3125,-0.0625,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,desc,val,-7.21875,-6.875,-6.6875,0.34375,0.53125,3311,3902,3161
gemma-2-2b,0,ja,zh,en,en,en,desc,freq,1.6875,3.6875,2.875,2.0,1.1875,13,7,7
gemma-2-2b,0,ja,zh,en,en,fr,desc,freq,-5.3125,-4.5625,-5.6875,0.75,-0.375,1220,1164,1854
gemma-2-2b,0,ja,zh,en,en,de,desc,freq,-10.875,-9.25,-9.375,1.625,1.5,17295,11793,11290
gemma-2-2b,0,ja,zh,en,en,es,desc,freq,-6.25,-5.3125,-6.21875,0.9375,0.03125,2046,1765,2479
gemma-2-2b,0,ja,zh,en,en,zh,desc,freq,0.0,0.0,0.0,0.0,0.0,41,71,56
gemma-2-2b,0,ja,zh,en,en,ja,desc,freq,7.125,7.4375,7.1875,0.3125,0.0625,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,desc,freq,-7.21875,-6.875,-6.6875,0.34375,0.53125,3311,3902,3173
gemma-2-2b,0,ja,zh,en,en,en,val,desc,1.6875,2.3125,2.3125,0.625,0.625,13,15,16
gemma-2-2b,0,ja,zh,en,en,fr,val,desc,-5.3125,-5.4375,-5.625,-0.125,-0.3125,1220,1973,2119
gemma-2-2b,0,ja,zh,en,en,de,val,desc,-10.875,-10.4375,-10.5625,0.4375,0.3125,17295,16935,17524
gemma-2-2b,0,ja,zh,en,en,es,val,desc,-6.25,-7.34375,-7.46875,-1.09375,-1.21875,2046,4712,4886
gemma-2-2b,0,ja,zh,en,en,zh,val,desc,0.0,0.0,0.0,0.0,0.0,41,108,107
gemma-2-2b,0,ja,zh,en,en,ja,val,desc,7.125,9.1875,9.375,2.0625,2.25,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,val,desc,-7.21875,-7.84375,-7.53125,-0.625,-0.3125,3311,5808,4987
gemma-2-2b,0,ja,zh,en,en,en,val,val,1.6875,2.3125,1.75,0.625,0.0625,13,15,13
gemma-2-2b,0,ja,zh,en,en,fr,val,val,-5.3125,-5.4375,-5.34375,-0.125,-0.03125,1220,1973,1223
gemma-2-2b,0,ja,zh,en,en,de,val,val,-10.875,-10.4375,-10.9375,0.4375,-0.0625,17295,16935,17103
gemma-2-2b,0,ja,zh,en,en,es,val,val,-6.25,-7.34375,-6.3125,-1.09375,-0.0625,2046,4712,2093
gemma-2-2b,0,ja,zh,en,en,zh,val,val,0.0,0.0,0.0,0.0,0.0,41,108,38
gemma-2-2b,0,ja,zh,en,en,ja,val,val,7.125,9.1875,7.0625,2.0625,-0.0625,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,val,val,-7.21875,-7.84375,-7.1875,-0.625,0.03125,3311,5808,3210
gemma-2-2b,0,ja,zh,en,en,en,val,freq,1.6875,2.3125,3.0,0.625,1.3125,13,15,7
gemma-2-2b,0,ja,zh,en,en,fr,val,freq,-5.3125,-5.4375,-5.53125,-0.125,-0.21875,1220,1973,1943
gemma-2-2b,0,ja,zh,en,en,de,val,freq,-10.875,-10.4375,-11.125,0.4375,-0.25,17295,16935,22576
gemma-2-2b,0,ja,zh,en,en,es,val,freq,-6.25,-7.34375,-6.40625,-1.09375,-0.15625,2046,4712,3044
gemma-2-2b,0,ja,zh,en,en,zh,val,freq,0.0,0.0,0.0,0.0,0.0,41,108,86
gemma-2-2b,0,ja,zh,en,en,ja,val,freq,7.125,9.1875,8.8125,2.0625,1.6875,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,val,freq,-7.21875,-7.84375,-7.96875,-0.625,-0.75,3311,5808,6000
gemma-2-2b,0,ja,zh,en,en,en,freq,desc,1.6875,2.1875,2.0,0.5,0.3125,13,11,11
gemma-2-2b,0,ja,zh,en,en,fr,freq,desc,-5.3125,-4.0625,-4.25,1.25,1.0625,1220,788,827
gemma-2-2b,0,ja,zh,en,en,de,freq,desc,-10.875,-9.9375,-10.0,0.9375,0.875,17295,14521,14475
gemma-2-2b,0,ja,zh,en,en,es,freq,desc,-6.25,-7.0625,-7.28125,-0.8125,-1.03125,2046,4048,4259
gemma-2-2b,0,ja,zh,en,en,zh,freq,desc,0.0,0.0,0.0,0.0,0.0,41,60,52
gemma-2-2b,0,ja,zh,en,en,ja,freq,desc,7.125,6.875,6.6875,-0.25,-0.4375,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,freq,desc,-7.21875,-7.59375,-7.53125,-0.375,-0.3125,3311,5225,4722
gemma-2-2b,0,ja,zh,en,en,en,freq,val,1.6875,2.1875,1.75,0.5,0.0625,13,11,11
gemma-2-2b,0,ja,zh,en,en,fr,freq,val,-5.3125,-4.0625,-4.5625,1.25,0.75,1220,788,1060
gemma-2-2b,0,ja,zh,en,en,de,freq,val,-10.875,-9.9375,-10.25,0.9375,0.625,17295,14521,18014
gemma-2-2b,0,ja,zh,en,en,es,freq,val,-6.25,-7.0625,-5.875,-0.8125,0.375,2046,4048,2271
gemma-2-2b,0,ja,zh,en,en,zh,freq,val,0.0,0.0,0.0,0.0,0.0,41,60,48
gemma-2-2b,0,ja,zh,en,en,ja,freq,val,7.125,6.875,6.9375,-0.25,-0.1875,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,freq,val,-7.21875,-7.59375,-6.3125,-0.375,0.90625,3311,5225,2918
gemma-2-2b,0,ja,zh,en,en,en,freq,freq,1.6875,2.1875,1.6875,0.5,0.0,13,11,13
gemma-2-2b,0,ja,zh,en,en,fr,freq,freq,-5.3125,-4.0625,-5.34375,1.25,-0.03125,1220,788,1258
gemma-2-2b,0,ja,zh,en,en,de,freq,freq,-10.875,-9.9375,-10.875,0.9375,0.0,17295,14521,17092
gemma-2-2b,0,ja,zh,en,en,es,freq,freq,-6.25,-7.0625,-6.28125,-0.8125,-0.03125,2046,4048,2101
gemma-2-2b,0,ja,zh,en,en,zh,freq,freq,0.0,0.0,0.0,0.0,0.0,41,60,42
gemma-2-2b,0,ja,zh,en,en,ja,freq,freq,7.125,6.875,7.125,-0.25,0.0,0,0,0
gemma-2-2b,0,ja,zh,en,en,ko,freq,freq,-7.21875,-7.59375,-7.15625,-0.375,0.0625,3311,5225,3228
gemma-2-2b,0,ja,zh,fr,fr,en,desc,desc,1.6875,3.5,1.8125,1.8125,0.125,13,10,13
gemma-2-2b,0,ja,zh,fr,fr,fr,desc,desc,-5.3125,3.875,-5.3125,9.1875,0.0,1220,7,1228
gemma-2-2b,0,ja,zh,fr,fr,de,desc,desc,-10.875,-9.125,-10.875,1.75,0.0,17295,18264,17049
gemma-2-2b,0,ja,zh,fr,fr,es,desc,desc,-6.25,-5.78125,-6.25,0.46875,0.0,2046,3426,2056
gemma-2-2b,0,ja,zh,fr,fr,zh,desc,desc,0.0,0.0,0.0,0.0,0.0,41,127,43
gemma-2-2b,0,ja,zh,fr,fr,ja,desc,desc,7.125,6.0,7.125,-1.125,0.0,0,3,0
gemma-2-2b,0,ja,zh,fr,fr,ko,desc,desc,-7.21875,-8.6875,-7.1875,-1.46875,0.03125,3311,15159,3276
gemma-2-2b,0,ja,zh,fr,fr,en,desc,val,1.6875,3.5,1.4375,1.8125,-0.25,13,10,19
gemma-2-2b,0,ja,zh,fr,fr,fr,desc,val,-5.3125,3.875,-3.40625,9.1875,1.90625,1220,7,566
gemma-2-2b,0,ja,zh,fr,fr,de,desc,val,-10.875,-9.125,-10.3125,1.75,0.5625,17295,18264,17522
gemma-2-2b,0,ja,zh,fr,fr,es,desc,val,-6.25,-5.78125,-5.8125,0.46875,0.4375,2046,3426,2162
gemma-2-2b,0,ja,zh,fr,fr,zh,desc,val,0.0,0.0,0.0,0.0,0.0,41,127,65
gemma-2-2b,0,ja,zh,fr,fr,ja,desc,val,7.125,6.0,7.375,-1.125,0.25,0,3,0
gemma-2-2b,0,ja,zh,fr,fr,ko,desc,val,-7.21875,-8.6875,-7.28125,-1.46875,-0.0625,3311,15159,4474
gemma-2-2b,0,ja,zh,fr,fr,en,desc,freq,1.6875,3.5,2.25,1.8125,0.5625,13,10,10
