model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,ja,ja,en,en,fr,freq,val,-12.4375,-10.9375,-11.5,1.5,0.9375,1220,787,1075
gemma-2-2b,0,ja,ja,en,en,de,freq,val,-18.0,-16.875,-17.125,1.125,0.875,17295,15033,18058
gemma-2-2b,0,ja,ja,en,en,es,freq,val,-13.375,-13.9375,-12.8125,-0.5625,0.5625,2046,4027,2314
gemma-2-2b,0,ja,ja,en,en,zh,freq,val,-7.125,-6.875,-6.9375,0.25,0.1875,41,58,49
gemma-2-2b,0,ja,ja,en,en,ja,freq,val,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,en,en,ko,freq,val,-14.375,-14.5,-13.25,-0.125,1.125,3311,5207,2959
gemma-2-2b,0,ja,ja,en,en,en,freq,freq,-5.4375,-4.6875,-5.4375,0.75,0.0,13,10,13
gemma-2-2b,0,ja,ja,en,en,fr,freq,freq,-12.4375,-10.9375,-12.5,1.5,-0.0625,1220,787,1258
gemma-2-2b,0,ja,ja,en,en,de,freq,freq,-18.0,-16.875,-18.0,1.125,0.0,17295,15033,17092
gemma-2-2b,0,ja,ja,en,en,es,freq,freq,-13.375,-13.9375,-13.375,-0.5625,0.0,2046,4027,2101
gemma-2-2b,0,ja,ja,en,en,zh,freq,freq,-7.125,-6.875,-7.125,0.25,0.0,41,58,42
gemma-2-2b,0,ja,ja,en,en,ja,freq,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,en,en,ko,freq,freq,-14.375,-14.5,-14.25,-0.125,0.125,3311,5207,3228
gemma-2-2b,0,ja,ja,fr,fr,en,desc,desc,-5.4375,-2.5,-5.3125,2.9375,0.125,13,10,13
gemma-2-2b,0,ja,ja,fr,fr,fr,desc,desc,-12.4375,-2.125,-12.4375,10.3125,0.0,1220,7,1228
gemma-2-2b,0,ja,ja,fr,fr,de,desc,desc,-18.0,-15.125,-18.0,2.875,0.0,17295,18264,17049
gemma-2-2b,0,ja,ja,fr,fr,es,desc,desc,-13.375,-11.75,-13.375,1.625,0.0,2046,3426,2056
gemma-2-2b,0,ja,ja,fr,fr,zh,desc,desc,-7.125,-6.0,-7.125,1.125,0.0,41,127,43
gemma-2-2b,0,ja,ja,fr,fr,ja,desc,desc,0.0,0.0,0.0,0.0,0.0,0,3,0
gemma-2-2b,0,ja,ja,fr,fr,ko,desc,desc,-14.375,-14.6875,-14.3125,-0.3125,0.0625,3311,15159,3276
gemma-2-2b,0,ja,ja,fr,fr,en,desc,val,-5.4375,-2.5,-5.9375,2.9375,-0.5,13,10,19
gemma-2-2b,0,ja,ja,fr,fr,fr,desc,val,-12.4375,-2.125,-10.75,10.3125,1.6875,1220,7,566
gemma-2-2b,0,ja,ja,fr,fr,de,desc,val,-18.0,-15.125,-17.75,2.875,0.25,17295,18264,17522
gemma-2-2b,0,ja,ja,fr,fr,es,desc,val,-13.375,-11.75,-13.1875,1.625,0.1875,2046,3426,2162
gemma-2-2b,0,ja,ja,fr,fr,zh,desc,val,-7.125,-6.0,-7.375,1.125,-0.25,41,127,65
gemma-2-2b,0,ja,ja,fr,fr,ja,desc,val,0.0,0.0,0.0,0.0,0.0,0,3,0
gemma-2-2b,0,ja,ja,fr,fr,ko,desc,val,-14.375,-14.6875,-14.625,-0.3125,-0.25,3311,15159,4474
gemma-2-2b,0,ja,ja,fr,fr,en,desc,freq,-5.4375,-2.5,-4.875,2.9375,0.5625,13,10,10
gemma-2-2b,0,ja,ja,fr,fr,fr,desc,freq,-12.4375,-2.125,-11.75,10.3125,0.6875,1220,7,891
gemma-2-2b,0,ja,ja,fr,fr,de,desc,freq,-18.0,-15.125,-17.75,2.875,0.25,17295,18264,14921
gemma-2-2b,0,ja,ja,fr,fr,es,desc,freq,-13.375,-11.75,-13.25,1.625,0.125,2046,3426,1946
gemma-2-2b,0,ja,ja,fr,fr,zh,desc,freq,-7.125,-6.0,-7.125,1.125,0.0,41,127,45
gemma-2-2b,0,ja,ja,fr,fr,ja,desc,freq,0.0,0.0,0.0,0.0,0.0,0,3,0
gemma-2-2b,0,ja,ja,fr,fr,ko,desc,freq,-14.375,-14.6875,-14.5,-0.3125,-0.125,3311,15159,3580
gemma-2-2b,0,ja,ja,fr,fr,en,val,desc,-5.4375,-4.125,-6.375,1.3125,-0.9375,13,10,13
gemma-2-2b,0,ja,ja,fr,fr,fr,val,desc,-12.4375,-5.3125,-12.4375,7.125,0.0,1220,20,570
gemma-2-2b,0,ja,ja,fr,fr,de,val,desc,-18.0,-18.0,-19.0,0.0,-1.0,17295,24101,12689
gemma-2-2b,0,ja,ja,fr,fr,es,val,desc,-13.375,-15.9375,-17.5,-2.5625,-4.125,2046,9198,6829
gemma-2-2b,0,ja,ja,fr,fr,zh,val,desc,-7.125,-7.5,-8.5,-0.375,-1.375,41,90,52
gemma-2-2b,0,ja,ja,fr,fr,ja,val,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,fr,fr,ko,val,desc,-14.375,-16.375,-16.0,-2.0,-1.625,3311,11744,3438
gemma-2-2b,0,ja,ja,fr,fr,en,val,val,-5.4375,-4.125,-5.3125,1.3125,0.125,13,10,13
gemma-2-2b,0,ja,ja,fr,fr,fr,val,val,-12.4375,-5.3125,-12.375,7.125,0.0625,1220,20,1215
gemma-2-2b,0,ja,ja,fr,fr,de,val,val,-18.0,-18.0,-18.0,0.0,0.0,17295,24101,17068
gemma-2-2b,0,ja,ja,fr,fr,es,val,val,-13.375,-15.9375,-13.375,-2.5625,0.0,2046,9198,2034
gemma-2-2b,0,ja,ja,fr,fr,zh,val,val,-7.125,-7.5,-7.0625,-0.375,0.0625,41,90,39
gemma-2-2b,0,ja,ja,fr,fr,ja,val,val,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,fr,fr,ko,val,val,-14.375,-16.375,-14.3125,-2.0,0.0625,3311,11744,3296
gemma-2-2b,0,ja,ja,fr,fr,en,val,freq,-5.4375,-4.125,-7.0,1.3125,-1.5625,13,10,15
gemma-2-2b,0,ja,ja,fr,fr,fr,val,freq,-12.4375,-5.3125,-14.875,7.125,-2.4375,1220,20,2008
gemma-2-2b,0,ja,ja,fr,fr,de,val,freq,-18.0,-18.0,-20.25,0.0,-2.25,17295,24101,21269
gemma-2-2b,0,ja,ja,fr,fr,es,val,freq,-13.375,-15.9375,-15.8125,-2.5625,-2.4375,2046,9198,3174
gemma-2-2b,0,ja,ja,fr,fr,zh,val,freq,-7.125,-7.5,-8.375,-0.375,-1.25,41,90,47
gemma-2-2b,0,ja,ja,fr,fr,ja,val,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,fr,fr,ko,val,freq,-14.375,-16.375,-16.25,-2.0,-1.875,3311,11744,3797
gemma-2-2b,0,ja,ja,fr,fr,en,freq,desc,-5.4375,-1.5,-6.25,3.9375,-0.8125,13,16,52
gemma-2-2b,0,ja,ja,fr,fr,fr,freq,desc,-12.4375,-5.0,-12.4375,7.4375,0.0,1220,151,2498
gemma-2-2b,0,ja,ja,fr,fr,de,freq,desc,-18.0,-13.375,-16.625,4.625,1.375,17295,14258,18455
gemma-2-2b,0,ja,ja,fr,fr,es,freq,desc,-13.375,-10.1875,-14.625,3.1875,-1.25,2046,3024,7611
gemma-2-2b,0,ja,ja,fr,fr,zh,freq,desc,-7.125,-3.75,-5.5625,3.375,1.5625,41,75,26
gemma-2-2b,0,ja,ja,fr,fr,ja,freq,desc,0.0,0.0,0.0,0.0,0.0,0,6,0
gemma-2-2b,0,ja,ja,fr,fr,ko,freq,desc,-14.375,-8.6875,-11.125,5.6875,3.25,3311,1324,1249
gemma-2-2b,0,ja,ja,fr,fr,en,freq,val,-5.4375,-1.5,-7.5,3.9375,-2.0625,13,16,154
gemma-2-2b,0,ja,ja,fr,fr,fr,freq,val,-12.4375,-5.0,-12.3125,7.4375,0.125,1220,151,2634
gemma-2-2b,0,ja,ja,fr,fr,de,freq,val,-18.0,-13.375,-18.0,4.625,0.0,17295,14258,36711
gemma-2-2b,0,ja,ja,fr,fr,es,freq,val,-13.375,-10.1875,-14.0625,3.1875,-0.6875,2046,3024,6427
gemma-2-2b,0,ja,ja,fr,fr,zh,freq,val,-7.125,-3.75,-6.6875,3.375,0.4375,41,75,89
gemma-2-2b,0,ja,ja,fr,fr,ja,freq,val,0.0,0.0,0.0,0.0,0.0,0,6,0
gemma-2-2b,0,ja,ja,fr,fr,ko,freq,val,-14.375,-8.6875,-11.625,5.6875,2.75,3311,1324,1804
gemma-2-2b,0,ja,ja,fr,fr,en,freq,freq,-5.4375,-1.5,-5.3125,3.9375,0.125,13,16,13
gemma-2-2b,0,ja,ja,fr,fr,fr,freq,freq,-12.4375,-5.0,-12.375,7.4375,0.0625,1220,151,1211
gemma-2-2b,0,ja,ja,fr,fr,de,freq,freq,-18.0,-13.375,-18.0,4.625,0.0,17295,14258,16749
gemma-2-2b,0,ja,ja,fr,fr,es,freq,freq,-13.375,-10.1875,-13.375,3.1875,0.0,2046,3024,2062
gemma-2-2b,0,ja,ja,fr,fr,zh,freq,freq,-7.125,-3.75,-7.125,3.375,0.0,41,75,44
gemma-2-2b,0,ja,ja,fr,fr,ja,freq,freq,0.0,0.0,0.0,0.0,0.0,0,6,0
gemma-2-2b,0,ja,ja,fr,fr,ko,freq,freq,-14.375,-8.6875,-14.3125,5.6875,0.0625,3311,1324,3287
gemma-2-2b,0,ja,ja,de,de,en,desc,desc,-5.4375,-3.8125,-5.4375,1.625,0.0,13,34,13
gemma-2-2b,0,ja,ja,de,de,fr,desc,desc,-12.4375,-11.1875,-12.375,1.25,0.0625,1220,3106,1217
gemma-2-2b,0,ja,ja,de,de,de,desc,desc,-18.0,-5.125,-18.0,12.875,0.0,17295,93,16859
gemma-2-2b,0,ja,ja,de,de,es,desc,desc,-13.375,-14.625,-13.375,-1.25,0.0,2046,17957,2083
gemma-2-2b,0,ja,ja,de,de,zh,desc,desc,-7.125,-6.6875,-7.125,0.4375,0.0,41,236,44
gemma-2-2b,0,ja,ja,de,de,ja,desc,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,de,de,ko,desc,desc,-14.375,-13.125,-14.25,1.25,0.125,3311,8991,3143
gemma-2-2b,0,ja,ja,de,de,en,desc,val,-5.4375,-3.8125,-7.3125,1.625,-1.875,13,34,82
gemma-2-2b,0,ja,ja,de,de,fr,desc,val,-12.4375,-11.1875,-12.25,1.25,0.1875,1220,3106,1559
gemma-2-2b,0,ja,ja,de,de,de,desc,val,-18.0,-5.125,-14.125,12.875,3.875,17295,93,3956
gemma-2-2b,0,ja,ja,de,de,es,desc,val,-13.375,-14.625,-15.3125,-1.25,-1.9375,2046,17957,7050
gemma-2-2b,0,ja,ja,de,de,zh,desc,val,-7.125,-6.6875,-7.3125,0.4375,-0.1875,41,236,88
gemma-2-2b,0,ja,ja,de,de,ja,desc,val,0.0,0.0,0.0,0.0,0.0,0,0,0
gemma-2-2b,0,ja,ja,de,de,ko,desc,val,-14.375,-13.125,-13.625,1.25,0.75,3311,8991,3128
gemma-2-2b,0,ja,ja,de,de,en,desc,freq,-5.4375,-3.8125,-4.9375,1.625,0.5,13,34,12
gemma-2-2b,0,ja,ja,de,de,fr,desc,freq,-12.4375,-11.1875,-11.625,1.25,0.8125,1220,3106,985
gemma-2-2b,0,ja,ja,de,de,de,desc,freq,-18.0,-5.125,-17.375,12.875,0.625,17295,93,15812
