model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
gemma-2-2b,0,ko,es,en,en,en,desc,desc,6.4375,6.875,6.4375,0.4375,0.0,4,0,5
gemma-2-2b,0,ko,es,en,en,fr,desc,desc,-1.6875,-2.375,-1.5625,-0.6875,0.125,1049,1515,1033
gemma-2-2b,0,ko,es,en,en,de,desc,desc,-5.125,-4.65625,-5.03125,0.46875,0.09375,8881,6510,8852
gemma-2-2b,0,ko,es,en,en,es,desc,desc,0.0,0.0,0.0,0.0,0.0,440,418,457
gemma-2-2b,0,ko,es,en,en,zh,desc,desc,2.375,2.0625,2.5,-0.3125,0.125,103,122,102
gemma-2-2b,0,ko,es,en,en,ja,desc,desc,1.0625,0.6875,1.125,-0.375,0.0625,238,285,244
gemma-2-2b,0,ko,es,en,en,ko,desc,desc,7.3125,6.875,7.4375,-0.4375,0.125,0,1,0
gemma-2-2b,0,ko,es,en,en,en,desc,val,6.4375,6.875,7.0,0.4375,0.5625,4,0,1
gemma-2-2b,0,ko,es,en,en,fr,desc,val,-1.6875,-2.375,-2.3125,-0.6875,-0.625,1049,1515,1877
gemma-2-2b,0,ko,es,en,en,de,desc,val,-5.125,-4.65625,-4.3125,0.46875,0.8125,8881,6510,6613
gemma-2-2b,0,ko,es,en,en,es,desc,val,0.0,0.0,0.0,0.0,0.0,440,418,523
gemma-2-2b,0,ko,es,en,en,zh,desc,val,2.375,2.0625,2.6875,-0.3125,0.3125,103,122,113
gemma-2-2b,0,ko,es,en,en,ja,desc,val,1.0625,0.6875,1.0625,-0.375,0.0,238,285,289
gemma-2-2b,0,ko,es,en,en,ko,desc,val,7.3125,6.875,7.5,-0.4375,0.1875,0,1,0
gemma-2-2b,0,ko,es,en,en,en,desc,freq,6.4375,6.875,7.0,0.4375,0.5625,4,0,1
gemma-2-2b,0,ko,es,en,en,fr,desc,freq,-1.6875,-2.375,-2.375,-0.6875,-0.6875,1049,1515,1900
gemma-2-2b,0,ko,es,en,en,de,desc,freq,-5.125,-4.65625,-4.3125,0.46875,0.8125,8881,6510,6505
gemma-2-2b,0,ko,es,en,en,es,desc,freq,0.0,0.0,0.0,0.0,0.0,440,418,516
gemma-2-2b,0,ko,es,en,en,zh,desc,freq,2.375,2.0625,2.625,-0.3125,0.25,103,122,115
gemma-2-2b,0,ko,es,en,en,ja,desc,freq,1.0625,0.6875,1.0625,-0.375,0.0,238,285,285
gemma-2-2b,0,ko,es,en,en,ko,desc,freq,7.3125,6.875,7.5,-0.4375,0.1875,0,1,0
gemma-2-2b,0,ko,es,en,en,en,val,desc,6.4375,9.375,9.3125,2.9375,2.875,4,3,4
gemma-2-2b,0,ko,es,en,en,fr,val,desc,-1.6875,-0.8125,-0.9375,0.875,0.75,1049,2169,2451
gemma-2-2b,0,ko,es,en,en,de,val,desc,-5.125,-4.625,-4.46875,0.5,0.65625,8881,21048,20131
gemma-2-2b,0,ko,es,en,en,es,val,desc,0.0,0.0,0.0,0.0,0.0,440,1445,1506
