model,prompt_lang,adj_lang,measure_lang,series,mean_value,source_csv
gemma-2-2b,de,de,en,iso_freq__proj_desc,1.96125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,en,iso_freq__proj_val,2.1,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,en,iso_freq__proj_freq,-0.001875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,original,-7.00875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,amp_desc,0.396875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,amp_val,0.21,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,amp_freq,2.890625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_desc__proj_desc,0.0,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_desc__proj_val,-0.170625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_desc__proj_freq,0.11,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_val__proj_desc,-0.50625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_val__proj_val,0.006875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_val__proj_freq,-0.361875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_freq__proj_desc,1.6209375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_freq__proj_val,1.63,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,es,iso_freq__proj_freq,0.011875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,original,-6.9734375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,amp_desc,-0.0290625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,amp_val,-0.1221875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,amp_freq,2.30375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_desc__proj_desc,0.0021875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_desc__proj_val,-0.1515625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_desc__proj_freq,0.1190625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_val__proj_desc,-0.3728125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_val__proj_val,0.0021875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_val__proj_freq,-0.3334375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_freq__proj_desc,1.4853125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_freq__proj_val,1.55375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,fr,iso_freq__proj_freq,0.0065625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,original,-12.95125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,amp_desc,0.921875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,amp_val,0.4509375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,amp_freq,3.0646875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_desc__proj_desc,0.0003125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_desc__proj_val,0.336875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_desc__proj_freq,-0.098125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_val__proj_desc,-0.035625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_val__proj_val,0.00375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_val__proj_freq,-0.3215625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_freq__proj_desc,1.4840625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_freq__proj_val,1.3278125,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ja,iso_freq__proj_freq,0.004375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,original,-14.919375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,amp_desc,0.3225,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,amp_val,-0.17625,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,amp_freq,2.9509375,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
gemma-2-2b,de,de,ko,iso_desc__proj_desc,0.006875,/n/fs/vision-mix/rm4411/Latent-Mechanism-Multilingual/data/projected_amplification_isolation/gemma-2-2b/prompt_de__adj_de.csv
