model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
qwen3-4b,0,zh,de,en,en,en,desc,desc,13.5,nan,nan,nan,nan,14,13855,13855
qwen3-4b,0,zh,de,en,en,fr,desc,desc,9.125,nan,nan,nan,nan,129,1728,1728
qwen3-4b,0,zh,de,en,en,de,desc,desc,0.0,nan,nan,nan,nan,26701,21062,21062
qwen3-4b,0,zh,de,en,en,es,desc,desc,5.4375,nan,nan,nan,nan,1098,76,76
qwen3-4b,0,zh,de,en,en,zh,desc,desc,21.5,nan,nan,nan,nan,0,100250,100250
qwen3-4b,0,zh,de,en,en,ja,desc,desc,7.71875,nan,nan,nan,nan,303,132430,132430
qwen3-4b,0,zh,de,en,en,ko,desc,desc,2.8125,nan,nan,nan,nan,5044,60315,60315
qwen3-4b,0,zh,de,en,en,en,desc,val,13.5,nan,nan,nan,nan,14,13855,13855
qwen3-4b,0,zh,de,en,en,fr,desc,val,9.125,nan,nan,nan,nan,129,1728,1728
qwen3-4b,0,zh,de,en,en,de,desc,val,0.0,nan,nan,nan,nan,26701,21062,21062
qwen3-4b,0,zh,de,en,en,es,desc,val,5.4375,nan,nan,nan,nan,1098,76,76
qwen3-4b,0,zh,de,en,en,zh,desc,val,21.5,nan,nan,nan,nan,0,100250,100250
qwen3-4b,0,zh,de,en,en,ja,desc,val,7.71875,nan,nan,nan,nan,303,132430,132430
qwen3-4b,0,zh,de,en,en,ko,desc,val,2.8125,nan,nan,nan,nan,5044,60315,60315
qwen3-4b,0,zh,de,en,en,en,desc,freq,13.5,nan,nan,nan,nan,14,13855,13855
qwen3-4b,0,zh,de,en,en,fr,desc,freq,9.125,nan,nan,nan,nan,129,1728,1728
qwen3-4b,0,zh,de,en,en,de,desc,freq,0.0,nan,nan,nan,nan,26701,21062,21062
qwen3-4b,0,zh,de,en,en,es,desc,freq,5.4375,nan,nan,nan,nan,1098,76,76
qwen3-4b,0,zh,de,en,en,zh,desc,freq,21.5,nan,nan,nan,nan,0,100250,100250
qwen3-4b,0,zh,de,en,en,ja,desc,freq,7.71875,nan,nan,nan,nan,303,132430,132430
qwen3-4b,0,zh,de,en,en,ko,desc,freq,2.8125,nan,nan,nan,nan,5044,60315,60315
qwen3-4b,0,zh,de,en,en,en,val,desc,13.5,10.9375,10.8125,-2.5625,-2.6875,14,37,55
qwen3-4b,0,zh,de,en,en,fr,val,desc,9.125,6.4375,6.75,-2.6875,-2.375,129,669,951
qwen3-4b,0,zh,de,en,en,de,val,desc,0.0,0.0,0.0,0.0,0.0,26701,68584,81282
qwen3-4b,0,zh,de,en,en,es,val,desc,5.4375,2.65625,2.953125,-2.78125,-2.484375,1098,11083,12533
qwen3-4b,0,zh,de,en,en,zh,val,desc,21.5,16.875,18.375,-4.625,-3.125,0,0,0
qwen3-4b,0,zh,de,en,en,ja,val,desc,7.71875,9.0625,9.875,1.34375,2.15625,303,136,113
qwen3-4b,0,zh,de,en,en,ko,val,desc,2.8125,4.65625,4.4375,1.84375,1.625,5044,2295,4363
qwen3-4b,0,zh,de,en,en,en,val,val,13.5,10.9375,13.5,-2.5625,0.0,14,37,14
qwen3-4b,0,zh,de,en,en,fr,val,val,9.125,6.4375,9.125,-2.6875,0.0,129,669,129
qwen3-4b,0,zh,de,en,en,de,val,val,0.0,0.0,0.0,0.0,0.0,26701,68584,26701
qwen3-4b,0,zh,de,en,en,es,val,val,5.4375,2.65625,5.4375,-2.78125,0.0,1098,11083,1098
qwen3-4b,0,zh,de,en,en,zh,val,val,21.5,16.875,21.5,-4.625,0.0,0,0,0
qwen3-4b,0,zh,de,en,en,ja,val,val,7.71875,9.0625,7.71875,1.34375,0.0,303,136,303
qwen3-4b,0,zh,de,en,en,ko,val,val,2.8125,4.65625,2.8125,1.84375,0.0,5044,2295,5044
qwen3-4b,0,zh,de,en,en,en,val,freq,13.5,10.9375,11.625,-2.5625,-1.875,14,37,86
qwen3-4b,0,zh,de,en,en,fr,val,freq,9.125,6.4375,6.8125,-2.6875,-2.3125,129,669,1578
qwen3-4b,0,zh,de,en,en,de,val,freq,0.0,0.0,0.0,0.0,0.0,26701,68584,86754
qwen3-4b,0,zh,de,en,en,es,val,freq,5.4375,2.65625,3.125,-2.78125,-2.3125,1098,11083,14273
qwen3-4b,0,zh,de,en,en,zh,val,freq,21.5,16.875,19.75,-4.625,-1.75,0,0,0
qwen3-4b,0,zh,de,en,en,ja,val,freq,7.71875,9.0625,9.8125,1.34375,2.09375,303,136,273
qwen3-4b,0,zh,de,en,en,ko,val,freq,2.8125,4.65625,4.96875,1.84375,2.15625,5044,2295,4546
qwen3-4b,0,zh,de,en,en,en,freq,desc,13.5,12.875,12.6875,-0.625,-0.8125,14,9,12
qwen3-4b,0,zh,de,en,en,fr,freq,desc,9.125,8.4375,9.0,-0.6875,-0.125,129,113,100
qwen3-4b,0,zh,de,en,en,de,freq,desc,0.0,0.0,0.0,0.0,0.0,26701,19544,23218
qwen3-4b,0,zh,de,en,en,es,freq,desc,5.4375,4.875,5.59375,-0.5625,0.15625,1098,863,740
qwen3-4b,0,zh,de,en,en,zh,freq,desc,21.5,19.5,20.125,-2.0,-1.375,0,0,0
qwen3-4b,0,zh,de,en,en,ja,freq,desc,7.71875,7.0625,7.375,-0.65625,-0.34375,303,236,264
qwen3-4b,0,zh,de,en,en,ko,freq,desc,2.8125,2.8125,2.5625,0.0,-0.25,5044,3170,4748
qwen3-4b,0,zh,de,en,en,en,freq,val,13.5,12.875,13.4375,-0.625,-0.0625,14,9,14
qwen3-4b,0,zh,de,en,en,fr,freq,val,9.125,8.4375,9.0625,-0.6875,-0.0625,129,113,129
qwen3-4b,0,zh,de,en,en,de,freq,val,0.0,0.0,0.0,0.0,0.0,26701,19544,26186
qwen3-4b,0,zh,de,en,en,es,freq,val,5.4375,4.875,5.53125,-0.5625,0.09375,1098,863,1039
qwen3-4b,0,zh,de,en,en,zh,freq,val,21.5,19.5,21.625,-2.0,0.125,0,0,0
