model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
qwen3-4b,0,en,fr,en,en,en,desc,desc,18.5,nan,nan,nan,nan,0,13855,13855
qwen3-4b,0,en,fr,en,en,fr,desc,desc,0.0,nan,nan,nan,nan,1362,1728,1728
qwen3-4b,0,en,fr,en,en,de,desc,desc,0.59375,nan,nan,nan,nan,991,21062,21062
qwen3-4b,0,en,fr,en,en,es,desc,desc,4.0,nan,nan,nan,nan,114,76,76
qwen3-4b,0,en,fr,en,en,zh,desc,desc,6.25,nan,nan,nan,nan,31,100250,100250
qwen3-4b,0,en,fr,en,en,ja,desc,desc,4.375,nan,nan,nan,nan,88,132430,132430
qwen3-4b,0,en,fr,en,en,ko,desc,desc,-2.15625,nan,nan,nan,nan,3896,60315,60315
qwen3-4b,0,en,fr,en,en,en,desc,val,18.5,nan,nan,nan,nan,0,13855,13855
qwen3-4b,0,en,fr,en,en,fr,desc,val,0.0,nan,nan,nan,nan,1362,1728,1728
qwen3-4b,0,en,fr,en,en,de,desc,val,0.59375,nan,nan,nan,nan,991,21062,21062
qwen3-4b,0,en,fr,en,en,es,desc,val,4.0,nan,nan,nan,nan,114,76,76
qwen3-4b,0,en,fr,en,en,zh,desc,val,6.25,nan,nan,nan,nan,31,100250,100250
qwen3-4b,0,en,fr,en,en,ja,desc,val,4.375,nan,nan,nan,nan,88,132430,132430
qwen3-4b,0,en,fr,en,en,ko,desc,val,-2.15625,nan,nan,nan,nan,3896,60315,60315
qwen3-4b,0,en,fr,en,en,en,desc,freq,18.5,nan,nan,nan,nan,0,13855,13855
qwen3-4b,0,en,fr,en,en,fr,desc,freq,0.0,nan,nan,nan,nan,1362,1728,1728
qwen3-4b,0,en,fr,en,en,de,desc,freq,0.59375,nan,nan,nan,nan,991,21062,21062
qwen3-4b,0,en,fr,en,en,es,desc,freq,4.0,nan,nan,nan,nan,114,76,76
qwen3-4b,0,en,fr,en,en,zh,desc,freq,6.25,nan,nan,nan,nan,31,100250,100250
qwen3-4b,0,en,fr,en,en,ja,desc,freq,4.375,nan,nan,nan,nan,88,132430,132430
qwen3-4b,0,en,fr,en,en,ko,desc,freq,-2.15625,nan,nan,nan,nan,3896,60315,60315
qwen3-4b,0,en,fr,en,en,en,val,desc,18.5,13.8125,13.875,-4.6875,-4.625,0,0,0
qwen3-4b,0,en,fr,en,en,fr,val,desc,0.0,0.0,0.0,0.0,0.0,1362,2263,1799
qwen3-4b,0,en,fr,en,en,de,val,desc,0.59375,-0.96875,-1.09375,-1.5625,-1.6875,991,4363,3783
qwen3-4b,0,en,fr,en,en,es,val,desc,4.0,1.0625,1.0625,-2.9375,-2.9375,114,1023,785
qwen3-4b,0,en,fr,en,en,zh,val,desc,6.25,7.9375,7.0,1.6875,0.75,31,11,18
qwen3-4b,0,en,fr,en,en,ja,val,desc,4.375,5.5,5.375,1.125,1.0,88,57,43
qwen3-4b,0,en,fr,en,en,ko,val,desc,-2.15625,1.75,0.375,3.90625,2.53125,3896,641,1422
qwen3-4b,0,en,fr,en,en,en,val,val,18.5,13.8125,18.5,-4.6875,0.0,0,0,0
qwen3-4b,0,en,fr,en,en,fr,val,val,0.0,0.0,0.0,0.0,0.0,1362,2263,1362
qwen3-4b,0,en,fr,en,en,de,val,val,0.59375,-0.96875,0.59375,-1.5625,0.0,991,4363,991
qwen3-4b,0,en,fr,en,en,es,val,val,4.0,1.0625,4.0,-2.9375,0.0,114,1023,114
qwen3-4b,0,en,fr,en,en,zh,val,val,6.25,7.9375,6.25,1.6875,0.0,31,11,31
qwen3-4b,0,en,fr,en,en,ja,val,val,4.375,5.5,4.375,1.125,0.0,88,57,88
qwen3-4b,0,en,fr,en,en,ko,val,val,-2.15625,1.75,-2.15625,3.90625,0.0,3896,641,3896
qwen3-4b,0,en,fr,en,en,en,val,freq,18.5,13.8125,14.5,-4.6875,-4.0,0,0,0
qwen3-4b,0,en,fr,en,en,fr,val,freq,0.0,0.0,0.0,0.0,0.0,1362,2263,1675
qwen3-4b,0,en,fr,en,en,de,val,freq,0.59375,-0.96875,-1.0,-1.5625,-1.59375,991,4363,3231
qwen3-4b,0,en,fr,en,en,es,val,freq,4.0,1.0625,1.125,-2.9375,-2.875,114,1023,734
qwen3-4b,0,en,fr,en,en,zh,val,freq,6.25,7.9375,7.1875,1.6875,0.9375,31,11,15
qwen3-4b,0,en,fr,en,en,ja,val,freq,4.375,5.5,4.875,1.125,0.5,88,57,59
qwen3-4b,0,en,fr,en,en,ko,val,freq,-2.15625,1.75,0.03125,3.90625,2.1875,3896,641,1664
qwen3-4b,0,en,fr,en,en,en,freq,desc,18.5,18.0,17.875,-0.5,-0.625,0,0,0
qwen3-4b,0,en,fr,en,en,fr,freq,desc,0.0,0.0,0.0,0.0,0.0,1362,1593,1450
qwen3-4b,0,en,fr,en,en,de,freq,desc,0.59375,0.75,0.375,0.15625,-0.21875,991,1057,1177
qwen3-4b,0,en,fr,en,en,es,freq,desc,4.0,3.96875,4.0,-0.03125,0.0,114,140,122
qwen3-4b,0,en,fr,en,en,zh,freq,desc,6.25,7.59375,6.125,1.34375,-0.125,31,18,31
qwen3-4b,0,en,fr,en,en,ja,freq,desc,4.375,5.28125,4.8125,0.90625,0.4375,88,64,74
qwen3-4b,0,en,fr,en,en,ko,freq,desc,-2.15625,0.3125,-1.59375,2.46875,0.5625,3896,1374,3290
qwen3-4b,0,en,fr,en,en,en,freq,val,18.5,18.0,18.5,-0.5,0.0,0,0,0
qwen3-4b,0,en,fr,en,en,fr,freq,val,0.0,0.0,0.0,0.0,0.0,1362,1593,1463
qwen3-4b,0,en,fr,en,en,de,freq,val,0.59375,0.75,0.65625,0.15625,0.0625,991,1057,1027
qwen3-4b,0,en,fr,en,en,es,freq,val,4.0,3.96875,4.0,-0.03125,0.0,114,140,127
qwen3-4b,0,en,fr,en,en,zh,freq,val,6.25,7.59375,6.4375,1.34375,0.1875,31,18,29
qwen3-4b,0,en,fr,en,en,ja,freq,val,4.375,5.28125,4.5625,0.90625,0.1875,88,64,85
qwen3-4b,0,en,fr,en,en,ko,freq,val,-2.15625,0.3125,-1.875,2.46875,0.28125,3896,1374,3716
qwen3-4b,0,en,fr,en,en,en,freq,freq,18.5,18.0,18.5,-0.5,0.0,0,0,0
qwen3-4b,0,en,fr,en,en,fr,freq,freq,0.0,0.0,0.0,0.0,0.0,1362,1593,1362
qwen3-4b,0,en,fr,en,en,de,freq,freq,0.59375,0.75,0.59375,0.15625,0.0,991,1057,991
qwen3-4b,0,en,fr,en,en,es,freq,freq,4.0,3.96875,4.0,-0.03125,0.0,114,140,114
qwen3-4b,0,en,fr,en,en,zh,freq,freq,6.25,7.59375,6.25,1.34375,0.0,31,18,31
qwen3-4b,0,en,fr,en,en,ja,freq,freq,4.375,5.28125,4.375,0.90625,0.0,88,64,88
qwen3-4b,0,en,fr,en,en,ko,freq,freq,-2.15625,0.3125,-2.15625,2.46875,0.0,3896,1374,3896
qwen3-4b,0,en,fr,fr,fr,en,desc,desc,18.5,11.75,18.5,-6.75,0.0,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,desc,desc,0.0,0.0,0.0,0.0,0.0,1362,49,1362
qwen3-4b,0,en,fr,fr,fr,de,desc,desc,0.59375,-4.0,0.59375,-4.59375,0.0,991,615,991
qwen3-4b,0,en,fr,fr,fr,es,desc,desc,4.0,-0.375,4.0,-4.375,0.0,114,56,114
qwen3-4b,0,en,fr,fr,fr,zh,desc,desc,6.25,1.3125,6.25,-4.9375,0.0,31,21,31
qwen3-4b,0,en,fr,fr,fr,ja,desc,desc,4.375,1.1875,4.375,-3.1875,0.0,88,22,88
qwen3-4b,0,en,fr,fr,fr,ko,desc,desc,-2.15625,-10.4375,-2.15625,-8.28125,0.0,3896,14891,3896
qwen3-4b,0,en,fr,fr,fr,en,desc,val,18.5,11.75,17.75,-6.75,-0.75,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,desc,val,0.0,0.0,0.0,0.0,0.0,1362,49,1028
qwen3-4b,0,en,fr,fr,fr,de,desc,val,0.59375,-4.0,0.0,-4.59375,-0.59375,991,615,1039
qwen3-4b,0,en,fr,fr,fr,es,desc,val,4.0,-0.375,3.625,-4.375,-0.375,114,56,99
qwen3-4b,0,en,fr,fr,fr,zh,desc,val,6.25,1.3125,5.9375,-4.9375,-0.3125,31,21,27
qwen3-4b,0,en,fr,fr,fr,ja,desc,val,4.375,1.1875,4.125,-3.1875,-0.25,88,22,71
qwen3-4b,0,en,fr,fr,fr,ko,desc,val,-2.15625,-10.4375,-2.6875,-8.28125,-0.53125,3896,14891,4039
qwen3-4b,0,en,fr,fr,fr,en,desc,freq,18.5,11.75,18.125,-6.75,-0.375,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,desc,freq,0.0,0.0,0.0,0.0,0.0,1362,49,1215
qwen3-4b,0,en,fr,fr,fr,de,desc,freq,0.59375,-4.0,0.3125,-4.59375,-0.28125,991,615,1027
qwen3-4b,0,en,fr,fr,fr,es,desc,freq,4.0,-0.375,3.9375,-4.375,-0.0625,114,56,97
qwen3-4b,0,en,fr,fr,fr,zh,desc,freq,6.25,1.3125,6.0,-4.9375,-0.25,31,21,32
qwen3-4b,0,en,fr,fr,fr,ja,desc,freq,4.375,1.1875,4.1875,-3.1875,-0.1875,88,22,86
qwen3-4b,0,en,fr,fr,fr,ko,desc,freq,-2.15625,-10.4375,-2.46875,-8.28125,-0.3125,3896,14891,4084
qwen3-4b,0,en,fr,fr,fr,en,val,desc,18.5,8.8125,13.4375,-9.6875,-5.0625,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,val,desc,0.0,0.0,0.0,0.0,0.0,1362,33,465
qwen3-4b,0,en,fr,fr,fr,de,val,desc,0.59375,-4.0,-1.0,-4.59375,-1.59375,991,605,893
qwen3-4b,0,en,fr,fr,fr,es,val,desc,4.0,0.125,3.125,-3.875,-0.875,114,29,59
qwen3-4b,0,en,fr,fr,fr,zh,val,desc,6.25,0.1875,3.375,-6.0625,-2.875,31,28,53
qwen3-4b,0,en,fr,fr,fr,ja,val,desc,4.375,0.0,2.0625,-4.375,-2.3125,88,35,109
qwen3-4b,0,en,fr,fr,fr,ko,val,desc,-2.15625,-9.625,-4.0,-7.46875,-1.84375,3896,17327,5183
qwen3-4b,0,en,fr,fr,fr,en,val,val,18.5,8.8125,18.5,-9.6875,0.0,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,val,val,0.0,0.0,0.0,0.0,0.0,1362,33,1362
qwen3-4b,0,en,fr,fr,fr,de,val,val,0.59375,-4.0,0.59375,-4.59375,0.0,991,605,991
qwen3-4b,0,en,fr,fr,fr,es,val,val,4.0,0.125,4.0,-3.875,0.0,114,29,114
qwen3-4b,0,en,fr,fr,fr,zh,val,val,6.25,0.1875,6.25,-6.0625,0.0,31,28,31
qwen3-4b,0,en,fr,fr,fr,ja,val,val,4.375,0.0,4.375,-4.375,0.0,88,35,88
qwen3-4b,0,en,fr,fr,fr,ko,val,val,-2.15625,-9.625,-2.15625,-7.46875,0.0,3896,17327,3896
qwen3-4b,0,en,fr,fr,fr,en,val,freq,18.5,8.8125,15.5625,-9.6875,-2.9375,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,val,freq,0.0,0.0,0.0,0.0,0.0,1362,33,1024
qwen3-4b,0,en,fr,fr,fr,de,val,freq,0.59375,-4.0,-0.03125,-4.59375,-0.625,991,605,1044
qwen3-4b,0,en,fr,fr,fr,es,val,freq,4.0,0.125,4.125,-3.875,0.125,114,29,65
qwen3-4b,0,en,fr,fr,fr,zh,val,freq,6.25,0.1875,4.875,-6.0625,-1.375,31,28,40
qwen3-4b,0,en,fr,fr,fr,ja,val,freq,4.375,0.0,3.0,-4.375,-1.375,88,35,152
qwen3-4b,0,en,fr,fr,fr,ko,val,freq,-2.15625,-9.625,-2.59375,-7.46875,-0.4375,3896,17327,4325
qwen3-4b,0,en,fr,fr,fr,en,freq,desc,18.5,9.75,16.25,-8.75,-2.25,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,freq,desc,0.0,0.0,0.0,0.0,0.0,1362,18,379
qwen3-4b,0,en,fr,fr,fr,de,freq,desc,0.59375,-5.5,-1.25,-6.09375,-1.84375,991,536,769
qwen3-4b,0,en,fr,fr,fr,es,freq,desc,4.0,-1.3125,2.625,-5.3125,-1.375,114,33,68
qwen3-4b,0,en,fr,fr,fr,zh,freq,desc,6.25,-0.4375,3.8125,-6.6875,-2.4375,31,23,34
qwen3-4b,0,en,fr,fr,fr,ja,freq,desc,4.375,-0.1875,3.75,-4.5625,-0.625,88,21,36
qwen3-4b,0,en,fr,fr,fr,ko,freq,desc,-2.15625,-12.0625,-5.75,-9.90625,-3.59375,3896,15279,7395
qwen3-4b,0,en,fr,fr,fr,en,freq,val,18.5,9.75,17.5,-8.75,-1.0,0,0,0
qwen3-4b,0,en,fr,fr,fr,fr,freq,val,0.0,0.0,0.0,0.0,0.0,1362,18,610
qwen3-4b,0,en,fr,fr,fr,de,freq,val,0.59375,-5.5,-0.5625,-6.09375,-1.15625,991,536,841
qwen3-4b,0,en,fr,fr,fr,es,freq,val,4.0,-1.3125,3.15625,-5.3125,-0.84375,114,33,81
qwen3-4b,0,en,fr,fr,fr,zh,freq,val,6.25,-0.4375,5.71875,-6.6875,-0.53125,31,23,22
qwen3-4b,0,en,fr,fr,fr,ja,freq,val,4.375,-0.1875,4.46875,-4.5625,0.09375,88,21,41
qwen3-4b,0,en,fr,fr,fr,ko,freq,val,-2.15625,-12.0625,-4.46875,-9.90625,-2.3125,3896,15279,6162
