model,prompt_idx,prompt_lang,adj_lang,intervention_lang,projection_lang,measure_lang,amplification_method,projection_method,original_target_minus_base,amplified_target_minus_base,isolated_target_minus_base,amplified_minus_original,isolated_minus_original,original_rank,amplified_rank,isolated_rank
qwen3-4b,0,ja,ja,en,en,en,desc,desc,-11.8125,nan,nan,nan,nan,73,13855,13855
qwen3-4b,0,ja,ja,en,en,fr,desc,desc,-21.5,nan,nan,nan,nan,23551,1728,1728
qwen3-4b,0,ja,ja,en,en,de,desc,desc,-19.5,nan,nan,nan,nan,7180,21062,21062
qwen3-4b,0,ja,ja,en,en,es,desc,desc,-18.125,nan,nan,nan,nan,3035,76,76
qwen3-4b,0,ja,ja,en,en,zh,desc,desc,-13.75,nan,nan,nan,nan,261,100250,100250
qwen3-4b,0,ja,ja,en,en,ja,desc,desc,0.0,nan,nan,nan,nan,0,132430,132430
qwen3-4b,0,ja,ja,en,en,ko,desc,desc,-20.5,nan,nan,nan,nan,13511,60315,60315
qwen3-4b,0,ja,ja,en,en,en,desc,val,-11.8125,nan,nan,nan,nan,73,13855,13855
qwen3-4b,0,ja,ja,en,en,fr,desc,val,-21.5,nan,nan,nan,nan,23551,1728,1728
qwen3-4b,0,ja,ja,en,en,de,desc,val,-19.5,nan,nan,nan,nan,7180,21062,21062
qwen3-4b,0,ja,ja,en,en,es,desc,val,-18.125,nan,nan,nan,nan,3035,76,76
qwen3-4b,0,ja,ja,en,en,zh,desc,val,-13.75,nan,nan,nan,nan,261,100250,100250
qwen3-4b,0,ja,ja,en,en,ja,desc,val,0.0,nan,nan,nan,nan,0,132430,132430
qwen3-4b,0,ja,ja,en,en,ko,desc,val,-20.5,nan,nan,nan,nan,13511,60315,60315
qwen3-4b,0,ja,ja,en,en,en,desc,freq,-11.8125,nan,nan,nan,nan,73,13855,13855
qwen3-4b,0,ja,ja,en,en,fr,desc,freq,-21.5,nan,nan,nan,nan,23551,1728,1728
qwen3-4b,0,ja,ja,en,en,de,desc,freq,-19.5,nan,nan,nan,nan,7180,21062,21062
qwen3-4b,0,ja,ja,en,en,es,desc,freq,-18.125,nan,nan,nan,nan,3035,76,76
qwen3-4b,0,ja,ja,en,en,zh,desc,freq,-13.75,nan,nan,nan,nan,261,100250,100250
qwen3-4b,0,ja,ja,en,en,ja,desc,freq,0.0,nan,nan,nan,nan,0,132430,132430
qwen3-4b,0,ja,ja,en,en,ko,desc,freq,-20.5,nan,nan,nan,nan,13511,60315,60315
qwen3-4b,0,ja,ja,en,en,en,val,desc,-11.8125,-8.8125,-9.625,3.0,2.1875,73,113,202
qwen3-4b,0,ja,ja,en,en,fr,val,desc,-21.5,-15.3125,-15.75,6.1875,5.75,23551,30142,34326
qwen3-4b,0,ja,ja,en,en,de,val,desc,-19.5,-16.0,-16.875,3.5,2.625,7180,45998,63624
qwen3-4b,0,ja,ja,en,en,es,val,desc,-18.125,-15.375,-15.8125,2.75,2.3125,3035,32141,35048
qwen3-4b,0,ja,ja,en,en,zh,val,desc,-13.75,-9.375,-9.0625,4.375,4.6875,261,175,132
qwen3-4b,0,ja,ja,en,en,ja,val,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
qwen3-4b,0,ja,ja,en,en,ko,val,desc,-20.5,-13.625,-14.125,6.875,6.375,13511,7927,9341
qwen3-4b,0,ja,ja,en,en,en,val,val,-11.8125,-8.8125,-11.8125,3.0,0.0,73,113,73
qwen3-4b,0,ja,ja,en,en,fr,val,val,-21.5,-15.3125,-21.5,6.1875,0.0,23551,30142,23551
qwen3-4b,0,ja,ja,en,en,de,val,val,-19.5,-16.0,-19.5,3.5,0.0,7180,45998,7180
qwen3-4b,0,ja,ja,en,en,es,val,val,-18.125,-15.375,-18.125,2.75,0.0,3035,32141,3035
qwen3-4b,0,ja,ja,en,en,zh,val,val,-13.75,-9.375,-13.75,4.375,0.0,261,175,261
qwen3-4b,0,ja,ja,en,en,ja,val,val,0.0,0.0,0.0,0.0,0.0,0,0,0
qwen3-4b,0,ja,ja,en,en,ko,val,val,-20.5,-13.625,-20.5,6.875,0.0,13511,7927,13511
qwen3-4b,0,ja,ja,en,en,en,val,freq,-11.8125,-8.8125,-9.25,3.0,2.5625,73,113,218
qwen3-4b,0,ja,ja,en,en,fr,val,freq,-21.5,-15.3125,-16.125,6.1875,5.375,23551,30142,37514
qwen3-4b,0,ja,ja,en,en,de,val,freq,-19.5,-16.0,-17.0,3.5,2.5,7180,45998,60954
qwen3-4b,0,ja,ja,en,en,es,val,freq,-18.125,-15.375,-16.125,2.75,2.0,3035,32141,36831
qwen3-4b,0,ja,ja,en,en,zh,val,freq,-13.75,-9.375,-8.3125,4.375,5.4375,261,175,108
qwen3-4b,0,ja,ja,en,en,ja,val,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
qwen3-4b,0,ja,ja,en,en,ko,val,freq,-20.5,-13.625,-13.9375,6.875,6.5625,13511,7927,7289
qwen3-4b,0,ja,ja,en,en,en,freq,desc,-11.8125,-11.25,-11.875,0.5625,-0.0625,73,50,77
qwen3-4b,0,ja,ja,en,en,fr,freq,desc,-21.5,-20.5,-20.75,1.0,0.75,23551,20930,18765
qwen3-4b,0,ja,ja,en,en,de,freq,desc,-19.5,-18.25,-19.125,1.25,0.375,7180,4764,7063
qwen3-4b,0,ja,ja,en,en,es,freq,desc,-18.125,-17.25,-17.125,0.875,1.0,3035,2508,2040
qwen3-4b,0,ja,ja,en,en,zh,freq,desc,-13.75,-14.875,-14.375,-1.125,-0.625,261,519,374
qwen3-4b,0,ja,ja,en,en,ja,freq,desc,0.0,0.0,0.0,0.0,0.0,0,0,0
qwen3-4b,0,ja,ja,en,en,ko,freq,desc,-20.5,-20.25,-20.25,0.25,0.25,13511,17738,14915
qwen3-4b,0,ja,ja,en,en,en,freq,val,-11.8125,-11.25,-11.875,0.5625,-0.0625,73,50,75
qwen3-4b,0,ja,ja,en,en,fr,freq,val,-21.5,-20.5,-21.5,1.0,0.0,23551,20930,22599
qwen3-4b,0,ja,ja,en,en,de,freq,val,-19.5,-18.25,-19.5,1.25,0.0,7180,4764,6877
qwen3-4b,0,ja,ja,en,en,es,freq,val,-18.125,-17.25,-18.0,0.875,0.125,3035,2508,2753
qwen3-4b,0,ja,ja,en,en,zh,freq,val,-13.75,-14.875,-13.8125,-1.125,-0.0625,261,519,266
qwen3-4b,0,ja,ja,en,en,ja,freq,val,0.0,0.0,0.0,0.0,0.0,0,0,0
qwen3-4b,0,ja,ja,en,en,ko,freq,val,-20.5,-20.25,-20.625,0.25,-0.125,13511,17738,13629
qwen3-4b,0,ja,ja,en,en,en,freq,freq,-11.8125,-11.25,-11.8125,0.5625,0.0,73,50,73
qwen3-4b,0,ja,ja,en,en,fr,freq,freq,-21.5,-20.5,-21.5,1.0,0.0,23551,20930,23551
qwen3-4b,0,ja,ja,en,en,de,freq,freq,-19.5,-18.25,-19.5,1.25,0.0,7180,4764,7180
qwen3-4b,0,ja,ja,en,en,es,freq,freq,-18.125,-17.25,-18.125,0.875,0.0,3035,2508,3035
qwen3-4b,0,ja,ja,en,en,zh,freq,freq,-13.75,-14.875,-13.75,-1.125,0.0,261,519,261
qwen3-4b,0,ja,ja,en,en,ja,freq,freq,0.0,0.0,0.0,0.0,0.0,0,0,0
qwen3-4b,0,ja,ja,en,en,ko,freq,freq,-20.5,-20.25,-20.5,0.25,0.0,13511,17738,13511
qwen3-4b,0,ja,ja,fr,fr,en,desc,desc,-11.8125,-11.1875,-11.8125,0.625,0.0,73,139,73
qwen3-4b,0,ja,ja,fr,fr,fr,desc,desc,-21.5,-13.5,-21.5,8.0,0.0,23551,588,23551
qwen3-4b,0,ja,ja,fr,fr,de,desc,desc,-19.5,-15.4375,-19.5,4.0625,0.0,7180,2193,7180
qwen3-4b,0,ja,ja,fr,fr,es,desc,desc,-18.125,-14.625,-18.125,3.5,0.0,3035,1286,3035
